id;name;created_date;last_modified_date;created_by;last_modified_by;active;subcategory_id
3000;Homepage copy;2024-10-03T10:00:00;;system;;true;1500
3001;Services page copy;2024-10-03T10:00:00;;system;;true;1500
3002;Product page microcopy;2024-10-03T10:00:00;;system;;true;1500
3003;Landing page narrative;2024-10-03T10:00:00;;system;;true;1500
3004;UX microcopy & CTAs;2024-10-03T10:00:00;;system;;true;1500
3005;Thought‑leadership article;2024-10-03T10:00:00;;system;;true;1501
3006;How‑to tutorial;2024-10-03T10:00:00;;system;;true;1501
3007;Industry roundup;2024-10-03T10:00:00;;system;;true;1501
3008;Interview‑based case study;2024-10-03T10:00:00;;system;;true;1501
3009;News/trend commentary;2024-10-03T10:00:00;;system;;true;1501
3010;API reference;2024-10-03T10:00:00;;system;;true;1502
3011;Developer quickstart;2024-10-03T10:00:00;;system;;true;1502
3012;System architecture overview;2024-10-03T10:00:00;;system;;true;1502
3013;Release notes;2024-10-03T10:00:00;;system;;true;1502
3014;Knowledge base articles;2024-10-03T10:00:00;;system;;true;1502
3015;Brand story;2024-10-03T10:00:00;;system;;true;1503
3016;Ad copy concepts;2024-10-03T10:00:00;;system;;true;1503
3017;Slogans & taglines;2024-10-03T10:00:00;;system;;true;1503
3018;Email sequences;2024-10-03T10:00:00;;system;;true;1503
3019;Short narrative;2024-10-03T10:00:00;;system;;true;1503
3020;Proofreading (light);2024-10-03T10:00:00;;system;;true;1504
3021;Copyediting (medium);2024-10-03T10:00:00;;system;;true;1504
3022;Substantive editing;2024-10-03T10:00:00;;system;;true;1504
3023;Style & tone alignment;2024-10-03T10:00:00;;system;;true;1504
3024;Fact check & references;2024-10-03T10:00:00;;system;;true;1504
3025;EN↔RO website localization;2024-10-03T10:00:00;;system;;true;1505
3026;EN↔RO technical manual;2024-10-03T10:00:00;;system;;true;1505
3027;Legal contract translation;2024-10-03T10:00:00;;system;;true;1505
3028;Marketing collateral localization;2024-10-03T10:00:00;;system;;true;1505
3029;App strings & store listing;2024-10-03T10:00:00;;system;;true;1505
3030;30‑day content plan;2024-10-03T10:00:00;;system;;true;1506
3031;Campaign launch kit;2024-10-03T10:00:00;;system;;true;1506
3032;Community management;2024-10-03T10:00:00;;system;;true;1506
3033;Analytics & reporting;2024-10-03T10:00:00;;system;;true;1506
3034;Creator collab program;2024-10-03T10:00:00;;system;;true;1506
3035;Google Ads search;2024-10-03T10:00:00;;system;;true;1507
3036;Meta Ads (FB/IG);2024-10-03T10:00:00;;system;;true;1507
3037;YouTube/Display setup;2024-10-03T10:00:00;;system;;true;1507
3038;Retargeting funnel;2024-10-03T10:00:00;;system;;true;1507
3039;PPC audit & optimizations;2024-10-03T10:00:00;;system;;true;1507
3040;Welcome flow;2024-10-03T10:00:00;;system;;true;1508
3041;Abandoned cart flow;2024-10-03T10:00:00;;system;;true;1508
3042;Newsletter production;2024-10-03T10:00:00;;system;;true;1508
3043;Re‑engagement series;2024-10-03T10:00:00;;system;;true;1508
3044;Deliverability fixes;2024-10-03T10:00:00;;system;;true;1508
3045;Editorial strategy;2024-10-03T10:00:00;;system;;true;1509
3046;Topic cluster map;2024-10-03T10:00:00;;system;;true;1509
3047;SEO content briefs;2024-10-03T10:00:00;;system;;true;1509
3048;Distribution playbook;2024-10-03T10:00:00;;system;;true;1509
3049;Quarterly performance review;2024-10-03T10:00:00;;system;;true;1509
3050;Program setup;2024-10-03T10:00:00;;system;;true;1510
3051;Affiliate recruitment;2024-10-03T10:00:00;;system;;true;1510
3052;Tracking & attribution;2024-10-03T10:00:00;;system;;true;1510
3053;Payout workflow;2024-10-03T10:00:00;;system;;true;1510
3054;Promotional toolkit;2024-10-03T10:00:00;;system;;true;1510
3055;HubSpot workflows;2024-10-03T10:00:00;;system;;true;1511
3056;Mailchimp automations;2024-10-03T10:00:00;;system;;true;1511
3057;Klaviyo flows;2024-10-03T10:00:00;;system;;true;1511
3058;Zapier/Make scenarios;2024-10-03T10:00:00;;system;;true;1511
3059;Lead scoring rules;2024-10-03T10:00:00;;system;;true;1511
3060;REST API design;2024-10-03T10:00:00;;system;;true;1512
3061;OAuth/OpenID Connect;2024-10-03T10:00:00;;system;;true;1512
3062;3rd‑party SaaS integration;2024-10-03T10:00:00;;system;;true;1512
3063;Webhook/event handlers;2024-10-03T10:00:00;;system;;true;1512
3064;API monitoring & alerts;2024-10-03T10:00:00;;system;;true;1512
3065;ETL job;2024-10-03T10:00:00;;system;;true;1513
3066;Headless browser tasks;2024-10-03T10:00:00;;system;;true;1513
3067;Data sync service;2024-10-03T10:00:00;;system;;true;1513
3068;File ingestion pipeline;2024-10-03T10:00:00;;system;;true;1513
3069;Health checks;2024-10-03T10:00:00;;system;;true;1513
3070;GitHub Actions pipeline;2024-10-03T10:00:00;;system;;true;1514
3071;Terraform/IaC;2024-10-03T10:00:00;;system;;true;1514
3072;Dockerization;2024-10-03T10:00:00;;system;;true;1514
3073;Observability stack;2024-10-03T10:00:00;;system;;true;1514
3074;Release & rollback plan;2024-10-03T10:00:00;;system;;true;1514
3075;AWS architecture;2024-10-03T10:00:00;;system;;true;1515
3076;Azure architecture;2024-10-03T10:00:00;;system;;true;1515
3077;GCP architecture;2024-10-03T10:00:00;;system;;true;1515
3078;Serverless functions;2024-10-03T10:00:00;;system;;true;1515
3079;Kubernetes cluster setup;2024-10-03T10:00:00;;system;;true;1515
3080;Multi‑tenant auth/RBAC;2024-10-03T10:00:00;;system;;true;1516
3081;Billing & subscriptions;2024-10-03T10:00:00;;system;;true;1516
3082;Admin portal;2024-10-03T10:00:00;;system;;true;1516
3083;Usage metering;2024-10-03T10:00:00;;system;;true;1516
3084;Audit logging;2024-10-03T10:00:00;;system;;true;1516
3085;MQTT backend;2024-10-03T10:00:00;;system;;true;1517
3086;Device provisioning;2024-10-03T10:00:00;;system;;true;1517
3087;Firmware OTA updater;2024-10-03T10:00:00;;system;;true;1517
3088;Edge data pipeline;2024-10-03T10:00:00;;system;;true;1517
3089;Dashboard & alerts;2024-10-03T10:00:00;;system;;true;1517
3090;Dataset preparation;2024-10-03T10:00:00;;system;;true;1518
3091;Baseline training;2024-10-03T10:00:00;;system;;true;1518
3092;Evaluation & metrics;2024-10-03T10:00:00;;system;;true;1518
3093;Serving pipeline;2024-10-03T10:00:00;;system;;true;1518
3094;Monitoring & drift;2024-10-03T10:00:00;;system;;true;1518
3095;Document ingestion;2024-10-03T10:00:00;;system;;true;1519
3096;Retriever index (BM25/Vec);2024-10-03T10:00:00;;system;;true;1519
3097;Prompt templates;2024-10-03T10:00:00;;system;;true;1519
3098;Evaluation harness;2024-10-03T10:00:00;;system;;true;1519
3099;Safety guardrails;2024-10-03T10:00:00;;system;;true;1519
3100;OpenAI API integration;2024-10-03T10:00:00;;system;;true;1520
3101;Vision/OCR pipeline;2024-10-03T10:00:00;;system;;true;1520
3102;Tool‑using agent;2024-10-03T10:00:00;;system;;true;1520
3103;Chat backend;2024-10-03T10:00:00;;system;;true;1520
3104;Batch inference jobs;2024-10-03T10:00:00;;system;;true;1520
3105;Data curation & SFT;2024-10-03T10:00:00;;system;;true;1521
3106;Hyperparameter sweep;2024-10-03T10:00:00;;system;;true;1521
3107;Quantization/distillation;2024-10-03T10:00:00;;system;;true;1521
3108;Latency/cost tuning;2024-10-03T10:00:00;;system;;true;1521
3109;Policy/Safety alignment;2024-10-03T10:00:00;;system;;true;1521
3110;Object detection;2024-10-03T10:00:00;;system;;true;1522
3111;Image classification;2024-10-03T10:00:00;;system;;true;1522
3112;OCR & layout parsing;2024-10-03T10:00:00;;system;;true;1522
3113;Visual QA;2024-10-03T10:00:00;;system;;true;1522
3114;Video analytics;2024-10-03T10:00:00;;system;;true;1522
3115;Text classification;2024-10-03T10:00:00;;system;;true;1523
3116;Summarization;2024-10-03T10:00:00;;system;;true;1523
3117;Named‑entity recognition;2024-10-03T10:00:00;;system;;true;1523
3118;Semantic search;2024-10-03T10:00:00;;system;;true;1523
3119;Topic modeling;2024-10-03T10:00:00;;system;;true;1523
3120;Metric taxonomy;2024-10-03T10:00:00;;system;;true;1524
3121;Data modeling;2024-10-03T10:00:00;;system;;true;1524
3122;BI dashboard build;2024-10-03T10:00:00;;system;;true;1524
3123;Data tests & QA;2024-10-03T10:00:00;;system;;true;1524
3124;Insights deck;2024-10-03T10:00:00;;system;;true;1524
3125;Schema/type repair;2024-10-03T10:00:00;;system;;true;1525
3126;Deduplication;2024-10-03T10:00:00;;system;;true;1525
3127;Missing values strategy;2024-10-03T10:00:00;;system;;true;1525
3128;Anomaly detection;2024-10-03T10:00:00;;system;;true;1525
3129;Validation suite;2024-10-03T10:00:00;;system;;true;1525
3130;Hypothesis & metrics;2024-10-03T10:00:00;;system;;true;1526
3131;Test plan & cohorts;2024-10-03T10:00:00;;system;;true;1526
3132;Instrumentation guide;2024-10-03T10:00:00;;system;;true;1526
3133;Result analysis;2024-10-03T10:00:00;;system;;true;1526
3134;Rollout plan;2024-10-03T10:00:00;;system;;true;1526
3135;Diagnostics & stationarity;2024-10-03T10:00:00;;system;;true;1527
3136;Backtests & selection;2024-10-03T10:00:00;;system;;true;1527
3137;Feature engineering;2024-10-03T10:00:00;;system;;true;1527
3138;Forecast dashboard;2024-10-03T10:00:00;;system;;true;1527
3139;Monitoring & alerts;2024-10-03T10:00:00;;system;;true;1527
3140;BigQuery setup;2024-10-03T10:00:00;;system;;true;1528
3141;Redshift warehouse;2024-10-03T10:00:00;;system;;true;1528
3142;Snowflake modeling;2024-10-03T10:00:00;;system;;true;1528
3143;Partitioning & clustering;2024-10-03T10:00:00;;system;;true;1528
3144;Security & governance;2024-10-03T10:00:00;;system;;true;1528
3145;Airflow orchestration;2024-10-03T10:00:00;;system;;true;1529
3146;dbt models;2024-10-03T10:00:00;;system;;true;1529
3147;CDC pipeline;2024-10-03T10:00:00;;system;;true;1529
3148;Batch/stream ingestion;2024-10-03T10:00:00;;system;;true;1529
3149;Observability for data;2024-10-03T10:00:00;;system;;true;1529
3150;React;2024-10-03T10:00:00;;system;;true;1530
3151;Vue;2024-10-03T10:00:00;;system;;true;1530
3152;Angular;2024-10-03T10:00:00;;system;;true;1530
3153;Next.js;2024-10-03T10:00:00;;system;;true;1530
3154;Svelte;2024-10-03T10:00:00;;system;;true;1530
3155;Node.js (Express/Nest);2024-10-03T10:00:00;;system;;true;1531
3156;Java Spring Boot;2024-10-03T10:00:00;;system;;true;1531
3157;Python Django/FastAPI;2024-10-03T10:00:00;;system;;true;1531
3158;.NET Core;2024-10-03T10:00:00;;system;;true;1531
3159;Go (Fiber/Gin);2024-10-03T10:00:00;;system;;true;1531
3160;MVP build;2024-10-03T10:00:00;;system;;true;1532
3161;CMS & admin;2024-10-03T10:00:00;;system;;true;1532
3162;Payments & forms;2024-10-03T10:00:00;;system;;true;1532
3163;Analytics & SEO;2024-10-03T10:00:00;;system;;true;1532
3164;Launch & handover;2024-10-03T10:00:00;;system;;true;1532
3165;Core Web Vitals pass;2024-10-03T10:00:00;;system;;true;1533
3166;Bundle optimization;2024-10-03T10:00:00;;system;;true;1533
3167;Image/font pipeline;2024-10-03T10:00:00;;system;;true;1533
3168;Server tuning;2024-10-03T10:00:00;;system;;true;1533
3169;Schema/meta setup;2024-10-03T10:00:00;;system;;true;1533
3170;Monthly care plan;2024-10-03T10:00:00;;system;;true;1534
3171;Security patches;2024-10-03T10:00:00;;system;;true;1534
3172;Content updates;2024-10-03T10:00:00;;system;;true;1534
3173;Backups & uptime;2024-10-03T10:00:00;;system;;true;1534
3174;Bug fixes queue;2024-10-03T10:00:00;;system;;true;1534
3175;WCAG 2.2 audit;2024-10-03T10:00:00;;system;;true;1535
3176;Remediation plan;2024-10-03T10:00:00;;system;;true;1535
3177;ARIA & keyboard support;2024-10-03T10:00:00;;system;;true;1535
3178;Color/contrast fixes;2024-10-03T10:00:00;;system;;true;1535
3179;Compliance report;2024-10-03T10:00:00;;system;;true;1535
3180;SwiftUI app;2024-10-03T10:00:00;;system;;true;1536
3181;UIKit module;2024-10-03T10:00:00;;system;;true;1536
3182;Offline sync layer;2024-10-03T10:00:00;;system;;true;1536
3183;Push notifications;2024-10-03T10:00:00;;system;;true;1536
3184;App Store submission;2024-10-03T10:00:00;;system;;true;1536
3185;Kotlin app;2024-10-03T10:00:00;;system;;true;1537
3186;Jetpack Compose UI;2024-10-03T10:00:00;;system;;true;1537
3187;Room/Retrofit stack;2024-10-03T10:00:00;;system;;true;1537
3188;Crash & ANR fixes;2024-10-03T10:00:00;;system;;true;1537
3189;Play Store submission;2024-10-03T10:00:00;;system;;true;1537
3190;Flutter starter;2024-10-03T10:00:00;;system;;true;1538
3191;React Native components;2024-10-03T10:00:00;;system;;true;1538
3192;State management;2024-10-03T10:00:00;;system;;true;1538
3193;Native module bridge;2024-10-03T10:00:00;;system;;true;1538
3194;CI build pipelines;2024-10-03T10:00:00;;system;;true;1538
3195;Test plan & cases;2024-10-03T10:00:00;;system;;true;1539
3196;Manual/automation runs;2024-10-03T10:00:00;;system;;true;1539
3197;Bug triage;2024-10-03T10:00:00;;system;;true;1539
3198;Store listing assets;2024-10-03T10:00:00;;system;;true;1539
3199;Release checklist;2024-10-03T10:00:00;;system;;true;1539
3200;User flows;2024-10-03T10:00:00;;system;;true;1540
3201;Wireframes;2024-10-03T10:00:00;;system;;true;1540
3202;Hi‑fi screens;2024-10-03T10:00:00;;system;;true;1540
3203;Prototype;2024-10-03T10:00:00;;system;;true;1540
3204;Design QA;2024-10-03T10:00:00;;system;;true;1540
3205;Payments & billing;2024-10-03T10:00:00;;system;;true;1541
3206;Analytics & attribution;2024-10-03T10:00:00;;system;;true;1541
3207;Auth & SSO;2024-10-03T10:00:00;;system;;true;1541
3208;Push/Deep links;2024-10-03T10:00:00;;system;;true;1541
3209;CRM/SDK wiring;2024-10-03T10:00:00;;system;;true;1541
3210;Core gameplay loop;2024-10-03T10:00:00;;system;;true;1542
3211;Level/scene setup;2024-10-03T10:00:00;;system;;true;1542
3212;UI/HUD implementation;2024-10-03T10:00:00;;system;;true;1542
3213;Optimization pass;2024-10-03T10:00:00;;system;;true;1542
3214;Build & packaging;2024-10-03T10:00:00;;system;;true;1542
3215;Blueprint mechanics;2024-10-03T10:00:00;;system;;true;1543
3216;Materials & lighting;2024-10-03T10:00:00;;system;;true;1543
3217;Sequencer cinematics;2024-10-03T10:00:00;;system;;true;1543
3218;Performance profiling;2024-10-03T10:00:00;;system;;true;1543
3219;Shipping build;2024-10-03T10:00:00;;system;;true;1543
3220;Concept & pillars;2024-10-03T10:00:00;;system;;true;1544
3221;Core/meta loop;2024-10-03T10:00:00;;system;;true;1544
3222;Economy & progression;2024-10-03T10:00:00;;system;;true;1544
3223;UX flows;2024-10-03T10:00:00;;system;;true;1544
3224;Milestone roadmap;2024-10-03T10:00:00;;system;;true;1544
3225;Icon/HUD pack;2024-10-03T10:00:00;;system;;true;1545
3226;2D/3D assets;2024-10-03T10:00:00;;system;;true;1545
3227;Menu & overlay UI;2024-10-03T10:00:00;;system;;true;1545
3228;VFX/SFX integration;2024-10-03T10:00:00;;system;;true;1545
3229;Style guide;2024-10-03T10:00:00;;system;;true;1545
3230;Dedicated server;2024-10-03T10:00:00;;system;;true;1546
3231;Matchmaking;2024-10-03T10:00:00;;system;;true;1546
3232;Lobby & chat;2024-10-03T10:00:00;;system;;true;1546
3233;Anti‑cheat basics;2024-10-03T10:00:00;;system;;true;1546
3234;Analytics hooks;2024-10-03T10:00:00;;system;;true;1546
3235;ARKit/ARCore scene;2024-10-03T10:00:00;;system;;true;1547
3236;Oculus/SteamVR build;2024-10-03T10:00:00;;system;;true;1547
3237;Interaction toolkit;2024-10-03T10:00:00;;system;;true;1547
3238;Performance tuning;2024-10-03T10:00:00;;system;;true;1547
3239;Store packaging;2024-10-03T10:00:00;;system;;true;1547
3240;ERC‑20 token;2024-10-03T10:00:00;;system;;true;1548
3241;ERC‑721 NFT;2024-10-03T10:00:00;;system;;true;1548
3242;Upgradeable proxy;2024-10-03T10:00:00;;system;;true;1548
3243;Unit tests & scripts;2024-10-03T10:00:00;;system;;true;1548
3244;Audit checklist;2024-10-03T10:00:00;;system;;true;1548
3245;WalletConnect;2024-10-03T10:00:00;;system;;true;1549
3246;Contract frontend;2024-10-03T10:00:00;;system;;true;1549
3247;State/indexing;2024-10-03T10:00:00;;system;;true;1549
3248;Tx queue UX;2024-10-03T10:00:00;;system;;true;1549
3249;Mainnet launch plan;2024-10-03T10:00:00;;system;;true;1549
3250;Minting site;2024-10-03T10:00:00;;system;;true;1550
3251;Metadata pipeline;2024-10-03T10:00:00;;system;;true;1550
3252;Royalties & marketplace;2024-10-03T10:00:00;;system;;true;1550
3253;Drop page;2024-10-03T10:00:00;;system;;true;1550
3254;Allowlist & claims;2024-10-03T10:00:00;;system;;true;1550
3255;Threat modeling;2024-10-03T10:00:00;;system;;true;1551
3256;Source review;2024-10-03T10:00:00;;system;;true;1551
3257;Pen test coordination;2024-10-03T10:00:00;;system;;true;1551
3258;Fix validation;2024-10-03T10:00:00;;system;;true;1551
3259;Final report;2024-10-03T10:00:00;;system;;true;1551
3260;Arbitrum/Optimism deploy;2024-10-03T10:00:00;;system;;true;1552
3261;Bridging & messaging;2024-10-03T10:00:00;;system;;true;1552
3262;Gas optimization;2024-10-03T10:00:00;;system;;true;1552
3263;Rollup config;2024-10-03T10:00:00;;system;;true;1552
3264;Monitoring hooks;2024-10-03T10:00:00;;system;;true;1552
3265;Liquidity pool;2024-10-03T10:00:00;;system;;true;1553
3266;Staking rewards;2024-10-03T10:00:00;;system;;true;1553
3267;Oracle integration;2024-10-03T10:00:00;;system;;true;1553
3268;Tokenomics sheet;2024-10-03T10:00:00;;system;;true;1553
3269;Risk controls;2024-10-03T10:00:00;;system;;true;1553
3270;Scope & assets;2024-10-03T10:00:00;;system;;true;1554
3271;Automated scans;2024-10-03T10:00:00;;system;;true;1554
3272;Manual verification;2024-10-03T10:00:00;;system;;true;1554
3273;Risk register;2024-10-03T10:00:00;;system;;true;1554
3274;Exec summary;2024-10-03T10:00:00;;system;;true;1554
3275;Network scans;2024-10-03T10:00:00;;system;;true;1555
3276;Web app scans;2024-10-03T10:00:00;;system;;true;1555
3277;False‑positive triage;2024-10-03T10:00:00;;system;;true;1555
3278;Remediation mapping;2024-10-03T10:00:00;;system;;true;1555
3279;Retest session;2024-10-03T10:00:00;;system;;true;1555
3280;Gap assessment;2024-10-03T10:00:00;;system;;true;1556
3281;Policy authoring;2024-10-03T10:00:00;;system;;true;1556
3282;Control mapping;2024-10-03T10:00:00;;system;;true;1556
3283;Evidence collection;2024-10-03T10:00:00;;system;;true;1556
3284;Audit readiness;2024-10-03T10:00:00;;system;;true;1556
3285;Runbooks;2024-10-03T10:00:00;;system;;true;1557
3286;Tabletop exercise;2024-10-03T10:00:00;;system;;true;1557
3287;Forensics support;2024-10-03T10:00:00;;system;;true;1557
3288;Comms templates;2024-10-03T10:00:00;;system;;true;1557
3289;Post‑mortem;2024-10-03T10:00:00;;system;;true;1557
3290;External test;2024-10-03T10:00:00;;system;;true;1558
3291;Internal test;2024-10-03T10:00:00;;system;;true;1558
3292;Web app test;2024-10-03T10:00:00;;system;;true;1558
3293;API test;2024-10-03T10:00:00;;system;;true;1558
3294;Report & fixes;2024-10-03T10:00:00;;system;;true;1558
3295;Phishing simulation;2024-10-03T10:00:00;;system;;true;1559
3296;Security training;2024-10-03T10:00:00;;system;;true;1559
3297;Playbooks & SOPs;2024-10-03T10:00:00;;system;;true;1559
3298;Password/SSO rollout;2024-10-03T10:00:00;;system;;true;1559
3299;Metrics dashboard;2024-10-03T10:00:00;;system;;true;1559
3300;Brand discovery;2024-10-03T10:00:00;;system;;true;1560
3301;Logo concepts;2024-10-03T10:00:00;;system;;true;1560
3302;Refinement & variants;2024-10-03T10:00:00;;system;;true;1560
3303;Brand guidelines;2024-10-03T10:00:00;;system;;true;1560
3304;Asset delivery;2024-10-03T10:00:00;;system;;true;1560
3305;User flows;2024-10-03T10:00:00;;system;;true;1561
3306;Wireframes;2024-10-03T10:00:00;;system;;true;1561
3307;High‑fidelity screens;2024-10-03T10:00:00;;system;;true;1561
3308;Prototype & handoff;2024-10-03T10:00:00;;system;;true;1561
3309;Design QA;2024-10-03T10:00:00;;system;;true;1561
